team_name,avg_plays,avg_watchers,n_matches
Chad,2451.5,1981.5,2
Charleroi,6547.333333333333,5275.666666666667,3
Charlton Athletic FC,1970.0,1660.5,2
Chelmsford City FC,7283.0,6638.0,1
Chelsea,124814.08888888889,75160.33333333333,90
Chelsea Women,13834.692307692309,11775.923076923076,13
Chesham United FC,1262.0,1002.0,1
Chesterfield FC,590.0,516.0,1
Chile,30000.0,21111.833333333332,6
Chinese Taipei,914163.5,452579.5,2
Chinese Taipei Women,221674.0,148765.0,1
Club Brugge KV,33895.0,22358.75,24
Colchester United FC,2129.0,1655.5,2
Colombia,19589.0,13553.57142857143,7
Columbus Crew,1675.3333333333333,1414.3333333333333,3
Como,22006.69387755102,15872.877551020409,49
Comoros,5007.5,3680.5,4
Congo,6072.666666666667,4996.666666666667,3
Copenhagen,25137.285714285714,16516.64285714286,14
Coventry City FC,3921.4285714285716,2972.3333333333335,21
Crawley Town FC,7002.0,5660.0,1
Cremonese,34603.05882352941,25821.176470588234,17
Crystal Palace,76109.78205128205,45673.03846153846,78
Curzon Ashton FC,1854.0,1491.0,1
DR Congo,13455.0,9722.666666666666,3
Dagenham & Redbridge FC,1473.0,1108.5,2
Damac FC,7750.5,6829.333333333333,6
Dejan FC,23322.625,14098.75,8
Deltras FC,71503.1,42445.5,30
Denmark,6577.8,5432.0,5
Deportivo Alavés,29872.87037037037,19303.203703703704,54
Derby County FC,4193.076923076923,3323.3846153846152,13
Dewa United FC,235874.92307692306,132709.25,52
Djurgårdens IF Fotboll,7773.727272727273,5103.454545454545,11
Doncaster Rovers FC,6046.666666666667,4386.166666666667,6
Dundee United,1267.5,1124.5,2
Dynamo Kyiv,6463.692307692308,5014.461538461538,13
Eastleigh FC,1601.0,1470.0,1
Ecuador,25946.0,18082.0,3
Egypt,12647.285714285714,9552.714285714286,7
Eintracht Frankfurt,26117.352941176472,16393.352941176472,17
Elche,23181.125,15671.875,16
Empoli FC,16585.4375,12124.0,32
Equatorial Guinea,13348.2,10210.2,5
Espanyol,24597.946428571428,16444.14285714286,56
Everton,73196.3880597015,44666.477611940296,67
Everton Women,15576.0,13429.0,3
Excelsior Rotterdam,4566.6,3611.0,5
Exeter City FC,33741.5,23417.0,2
F.C. Arouca,2877.1666666666665,2233.8333333333335,6
F.C. Copenhagen,6128.0,4037.0,1
F.C. Famalicao,3917.8333333333335,3041.0,6
FC Alverca,2081.0,1601.0,2
FC Ausburg,3662.0,3222.0,1
FC Barcelona Femení,6311.8,4963.8,5
FC Basel,6837.0,5550.5,6
FC Bayern Munich,75929.16666666667,43822.458333333336,24
FC Bayern Munich Women,5809.333333333333,4481.333333333333,3
FC Bekasi City,30315.238095238095,18201.190476190477,21
FC Cincinnati,2306.5,2060.0,2
FC Dender,7276.333333333333,5528.25,24
FC Dinamo Minsk,2828.0,2020.6,5
FC Drita,467.6666666666667,371.6666666666667,6
FC Groningen,8935.5625,6948.0625,16
FC Kairat Almaty,35795.0,25148.555555555555,9
FC Lausanne-Sport,585.8333333333334,472.1666666666667,6
FC Lugano,1103.5,809.8333333333334,6
FC Noah,2953.0,1952.5454545454545,11
FC Petrocub Hîncești,633.0,469.0,1
FC Polissya Zhytomyr,3801.5,2875.0,2
FC Porto,8632.690476190477,5925.571428571428,42
FC Red Bull Salzburg,13561.722222222223,9105.611111111111,18
FC Shakhtar Donetsk,13019.214285714286,9061.142857142857,14
FC St. Gallen,3878.0,2679.0,1
FC St. Pauli,5135.0,4548.0,1
FC Twente Women,13309.5,11722.0,2
FC Viktoria Plzeň,10117.235294117647,6425.411764705882,17
FC Volendam,11174.833333333334,9005.666666666666,6
FCSB,8449.125,5450.5625,16
FK Astana,11468.2,7942.0,5
FK Bodø/Glimt,18395.739130434784,11505.95652173913,23
FK Borac Banja Luka,464.0,350.0,1
FK Crvena Zvezda Beograd,13589.5,9581.0,2
FK Mladá Boleslav,556.8,408.8,5
FK Rīgas Futbola skola,2059.1666666666665,1388.1666666666667,6
FK TSC Bačka Topola,399.0,301.6666666666667,6
FSV Mainz 05,809.3333333333334,628.6666666666666,6
Falkirk,439.0,374.0,1
Fenerbahce,14044.47619047619,7987.380952380952,21
Ferencvárosi TC,3774.8125,2653.3125,16
Feyenoord,18569.52857142857,12755.985714285714,70
Flamengo,60167.0,40013.0,1
Football West All Star,214908.0,141430.0,1
Forest Green Rovers FC,1267.0,1126.0,1
Fortuna Sittard,9484.045454545454,7316.0,22
France,4770.0,4064.4,5
Fulham,65325.393939393936,40111.757575757576,66
G.D. Estoril Praia,2661.714285714286,2043.7142857142858,7
GNK Dinamo Zagreb,13173.923076923076,8394.076923076924,13
Gabon,7438.666666666667,5519.0,3
Gainsborough Trinity F.C.,1129.0,919.0,1
Gainsborough Trinity FC,1039.0,964.0,1
Galatasaray Spor Kulübü,20144.529411764706,12920.941176470587,17
Gambia,5542.5,4739.5,2
Gateshead FC,1194.0,1126.0,1
Genclerbirligi,3180.0,2442.0,1
Genoa CFC,13183.30612244898,10096.183673469388,49
Getafe,20189.25925925926,13786.722222222223,54
Ghana,11398.0,9503.0,1
Gil Vicente F.C.,2810.3333333333335,2060.0,3
Girona FC,32675.444444444445,21412.4126984127,63
Go Ahead Eagles,12077.576923076924,8923.192307692309,26
Gresik United FC,48060.75,25936.166666666668,12
Grimsby Town FC,40903.5,23235.0,2
HNK Rijeka,1210.4285714285713,997.0,7
HSK Zrinjski Mostar,292.3333333333333,233.83333333333334,6
Hamrun Spartans FC,332.8333333333333,263.8333333333333,6
Harborough Town FC,2432.0,1990.0,1
Harrogate Town FC,1959.6666666666667,1574.3333333333333,3
Heart of Midlothian,2608.285714285714,2043.0,7
Heart of Midlothian F.C,451.0,368.0,1
Heerenveen,9847.307692307691,7668.153846153846,13
Heidenheim,8684.5,5291.666666666667,6
Hellas Verona,18615.625,13497.125,48
Helsingin Jalkapalloklubi,578.6,415.0,5
Heracles,8682.764705882353,6633.0,17
Hibernian,3117.0,2779.0,1
Houston Dynamo FC,2139.0,1868.5,2
Huddersfield Town FC,12703.5,9006.0,2
Hull City AFC,3806.3333333333335,2863.6666666666665,9
IF Elfsborg,9141.375,6277.375,8
India U20,433648.0,262404.6666666667,3
India U20 Women,215870.0,158549.0,1
Indonesia,706754.8888888889,369325.0,9
Indonesia U20 Women,199620.42857142858,134101.7142857143,7
Indonesia Women,238869.0,160695.66666666666,3
Inter Miami CF,5158.6,4552.0,5
Inter Milan,72800.83333333333,45407.743589743586,78
Ipswich Town FC,50955.660377358494,31749.98113207547,53
Ivory Coast,3731.8,2840.8,5
Jagiellonia Białystok,1913.5882352941176,1398.1176470588234,17
Japan National Team,10457.666666666666,8756.333333333334,3
Jordan U20,505724.0,267614.0,1
Juang FC,8786.0,6070.5,2
Juventus,45749.20289855073,31330.202898550724,69
Juventus Women,5705.25,4778.75,4
K.A.A. Gent,7199.666666666667,4620.777777777777,9
K.R.C. Genk,4444.142857142857,3334.4285714285716,7
K.V. Kortrijk,2852.0,2201.0,1
K.V.C. Westerlo,3232.0,2574.6666666666665,3
KF Shkendija,327.5,263.0,6
KKS Lech Poznan,372.8333333333333,300.5,6
KP Legia Warszawa,5968.6,4243.8,15
KV Mechelen,2299.0,1916.0,3
Kartanegara Mesra FC,3757.0,2943.0,1
Kasimpasa,4253.0,3370.0,1
Kasiwa FC,5191.0,4465.0,1
Kendal Tornado FC,34866.692307692305,21769.384615384617,13
Kenya,13741.5,10083.5,2
Kettering Town FC,5370.0,4210.5,2
Kilmarnock,737.0,671.0,1
Knattspyrnufélagið Víkingur,4419.0,3471.0,7
Konyaspor,4868.0,3910.0,1
Kuopion Palloseura,927.6666666666666,734.5,6
Kyrgyzstan Women,215818.0,147728.0,1
LA Galaxy,1808.0,1694.5,2
LASK,806.8,604.0,5
Lamphun Warriors,7002.5,6291.0,2
Laos U23,237832.6,129692.6,5
Larne F.C.,387.0,304.0,1
Larne FC,435.0,312.25,4
Lazio,20605.666666666668,14742.1,60
Lebanon,1903995.0,876953.0,1
Lecce,15046.68085106383,11112.212765957447,47
Leeds United FC,32392.083333333332,21964.083333333332,36
Leganes,23411.756756756757,16045.081081081082,37
Legia Warszawa,211.0,167.0,1
Leicester City,72757.54545454546,44200.931818181816,44
Leicester City Women,13807.0,12183.0,1
Lesotho,1919.0,1498.0,2
Levante,28507.0625,20074.9375,16
Leyton Orient FC,20743.333333333332,12785.833333333334,6
Liberia,4626.0,3789.0,2
Libya,5426.5,4424.0,2
Liga Indonesia All-Star,300565.0,183964.0,3
Lille OSC Métropole,42830.9375,27674.25,16
Lincoln City FC,12204.666666666666,7809.666666666667,3
Lincoln Red Imps FC,284.1666666666667,236.16666666666666,6
Liverpool,169196.01041666666,100509.89583333333,96
Liverpool Women,17566.333333333332,14999.666666666666,3
Livingston,3021.0,2595.0,1
London City Lionesses,14454.0,12420.0,1
Los Angeles FC,2326.25,2042.0,4
Luton Town FC,5639.8,4180.733333333334,15
Macarthur FC,4245.380952380952,3612.5238095238096,21
Macau U17 Women,51885.0,37638.0,1
Macau U23,375496.0,196684.66666666666,3
Maccabi Tel Aviv F.C.,2900.9166666666665,2044.6666666666667,12
Macclesfield FC,5249.0,4741.0,1
Madagascar,8154.0,6994.0,1
Madura United FC,199219.16326530612,117376.14285714286,49
Malawi,9632.5,7698.0,2
Malaysia,141499.0,91274.0,2
Maldon & Tiptree FC,1514.0,1338.0,1
Mali,214670.66666666666,130899.33333333333,9
Mallorca,20248.055555555555,13991.888888888889,54
Malmö FF,3380.4615384615386,2432.153846153846,13
Malut United FC,210100.97959183675,118344.69387755102,49
Manchester City,139170.35483870967,86342.75268817204,93
Manchester City Women,21133.5,18330.5,2
Manchester United,237835.6511627907,138304.67441860464,86
Manchester United Women,15344.8,12932.2,10
Mansfield Town FC,1382.0,1104.5,2
Mauritania,5499.0,4438.0,3
Melbourne City FC,4180.08,3573.72,25
Melbourne Victory FC,4235.2,3543.04,25
Mexico,6723.4,5592.4,5
Middlesbrough FC,6528.6875,4860.8125,16
Midtjylland,5204.866666666667,3795.9333333333334,15
Millwall FC,6786.166666666667,5171.416666666667,12
Minnesota United FC,1226.0,1142.0,1
Molde FK,1217.888888888889,829.2222222222222,9
Morecambe F.C.,117517.0,30988.0,1
Moreirense F.C.,2378.6,1756.4,5
Morocco,4987.444444444444,3585.6666666666665,9
Mozambique,16618.0,12189.0,1
Muangthong United FC,16363.0,15114.0,2
Myanmar,10785.0,7004.0,2
Myanmar U17 Women,81914.0,54863.0,1
Myanmar U20 Women,147730.0,103478.0,1
Myanmar U23,72529.0,42760.0,2
NAC,9008.42857142857,7007.571428571428,14
NEC Nijmegen,16428.958333333332,12097.541666666666,24
NEOM SC,1803.0,1578.5,2
NK Celje,2057.5882352941176,1507.3529411764705,17
NK Olimpija Ljubljana,554.7142857142857,390.7142857142857,7
Nakhon Pathom United FC,14645.0,13509.0,1
Nakhon Ratchasima FC,5300.0,4874.0,1
Namibia,12491.5,9711.0,2
Nepal,106380.0,75570.0,1
Newcastle Jets FC,3623.190476190476,3100.7619047619046,21
Newcastle United,77912.90361445783,47849.22891566265,83
Newport County AFC,1213.0,1113.0,1
Niger,17478.0,13736.0,1
Nigeria,10695.333333333334,8177.0,3
Nongbua Pitchaya FC,15606.0,14462.0,1
North Macedonia U17,416040.0,249246.0,1
Northampton Town FC,3756.0,2924.0,1
Norwich City FC,6989.333333333333,5404.083333333333,12
Nottingham Forest,68824.88888888889,41270.22222222222,72
Notts County FC,1069.0,976.0,1
Nusantara United,22504.1,11571.6,10
OGC Nice Côte d'Azur,6786.3125,5234.5625,16
OL Lyonnes,3325.4,2712.6,5
Olympiacos F.C.,29939.466666666667,19822.0,15
Olympique Lyonnais,26873.0,15781.8125,16
Olympique de Marseille,28462.375,17597.5,8
Orlando City SC,4206.0,3714.6666666666665,3
Osasuna,27940.814814814814,17246.574074074073,54
Oud-Heverlee Leuven,5361.666666666667,3996.6666666666665,3
Oud-Heverlee Leuven Women,2599.0,1977.0,3
Oxford United FC,80374.64705882352,48910.64705882353,17
PAOK FC,9854.07142857143,6197.071428571428,14
PEC Zwolle,10742.125,8124.875,16
PERSEBAYA Surabaya,315805.8823529412,173256.5294117647,51
PERSIB,569596.6037735849,280498.679245283,53
PERSIJA Jakarta,376738.3461538461,201197.13461538462,52
PERSIK Kediri,196777.32653061225,114314.10204081633,49
PERSIPAL (BABEL United),29161.6,17778.9,20
PERSIS Solo,227171.1224489796,131435.14285714287,49
PERSITA Tangerang,196476.6530612245,115685.44897959183,49
PFA Sukoharjo,3757.5,2762.0,2
PFC Ludogorets Razgrad,3084.75,2137.9166666666665,12
PS Barito Putera,152615.59574468085,88085.48936170213,47
PS Freeport,11527.0,8498.0,2
PS Kota Pahlawan Surabaya,3868.0,3092.0,1
PSBS Biak,181469.10204081633,105141.8163265306,49
PSDS Deli Serdang,7004.0,5416.5,2
PSIM Yogyakarta,163127.97368421053,90958.36842105263,38
PSIS Semarang,144442.8085106383,86396.27659574468,47
PSKC Cimahi,44720.608695652176,26160.260869565216,23
PSM Makassar,227535.22448979592,127070.20408163265,49
PSMS Medan,55159.903225806454,30502.451612903227,31
PSPS Riau,70870.92307692308,38287.269230769234,26
PSS Sleman,179899.3125,102854.16666666667,48
PSV,22250.85714285714,14940.785714285714,70
PT Prachuap FC,5300.0,4874.0,1
Pafos FC,7266.941176470588,5052.764705882353,17
Pakistan Women,279115.0,185594.0,1
Panama,6667.0,5424.666666666667,3
Panathinaikos FC,6178.733333333334,4481.333333333333,15
Paraguay,35472.333333333336,23631.666666666668,6
Paris FC Women,1691.6666666666667,1270.3333333333333,3
Paris Saint-Germain,146941.5185185185,81323.96296296296,27
Paris Saint-Germain FC Women,4240.0,3371.25,4
Parma Calcio,20973.26530612245,15165.367346938776,49
Persekat Tegal,46969.72,26986.8,25
Persela Lamongan,58115.67741935484,35733.51612903226,31
Persewar Waropen,20667.11111111111,10844.555555555555,9
Persib Bandung,5191.0,4465.0,1
Persib Bandung U17,7040.5,5254.5,2
Persiba Balikpapan,52281.07692307692,33735.0,13
Persibo Bojonegoro,53644.5,27448.1875,16
Persijap Jepara,167272.75757575757,96871.93939393939,33
Persika Karanganyar,11610.0,7917.5,2
Persikabo 1973,24272.0,14917.727272727272,11
Persikad,37379.692307692305,20804.153846153848,13
Persikas Subang,17205.909090909092,9840.818181818182,11
Persikomet Kota Metro,1901.0,1542.0,1
Persikota Tangerang,24196.583333333332,14642.416666666666,12
Persiku Kudus,46634.958333333336,27868.208333333332,24
Persipa Pati,32211.0,18083.0,14
Persipal Palu FC,31989.666666666668,17765.0,3
Persipura Jayapura,51266.47826086957,32306.652173913044,23
Persiraja Banda Aceh,60535.333333333336,35527.7037037037,27
Perth Glory FC,4126.705882352941,3568.294117647059,17
Peru,12478.0,9218.0,4
Pesebri Batanghari,3932.0,3212.0,1
Peterborough United FC,4969.0,3507.0,1
Petrocub,1455.75,1079.0,4
Philadelphia Union,1485.0,1354.0,1
Philippines U23,344775.8,191869.2,5
Pisa,14867.875,10665.1875,16
Plymouth Argyle FC,16439.76923076923,10863.461538461539,13
Port FC,192885.33333333334,110734.5,6
Port Vale FC,11940.0,8228.5,2
Portland Timbers,1642.0,1468.6666666666667,3
Portsmouth FC,2613.6666666666665,2094.3333333333335,9
Preston North End FC,7709.642857142857,5374.214285714285,14
Qarabağ FK,17983.85714285714,12601.214285714286,14
Queens Park Rangers FC,7549.642857142857,5736.928571428572,14
R.S.C. Anderlecht,3307.6,2209.4,10
RANS Nusantara FC,34055.294117647056,20876.117647058825,17
RB Leipzig,29819.0,18243.875,8
RC Strasbourg Alsace,1303.875,941.125,8
RKC Waalwijk,5690.111111111111,4453.111111111111,9
Raga Negeri Women,6247.0,4531.0,3
Raga Negeri Women U17,4290.0,2994.0,2
Rakow Czestochowa,292.8333333333333,238.16666666666666,6
Rangers,11315.565217391304,6819.695652173913,23
Ratchaburi FC,6767.0,6414.0,1
Rayo Vallecano,19588.216666666667,13261.3,60
Rayong FC,9070.0,8403.0,1
Reading FC,4160.5,3438.0,2
Real Betis Balompié,23486.08108108108,15398.986486486487,74
Real Madrid,221814.0,128867.0,1
Real Madrid CF,201521.025,112469.05,80
Real Madrid Femenino,15960.333333333334,14042.666666666666,3
Real Oviedo,18083.25,12723.6875,16
Real Sociedad de Fútbol,31811.89393939394,19924.545454545456,66
Red Star Belgrade,17237.384615384617,9999.76923076923,13
Rio Ave F.C.,2746.6,2150.4,5
Rizespor,2785.0,2231.0,1
Roket FC,3608.5,2591.5,2
Royale Union Saint-Gilloise,14873.64705882353,10305.588235294117,17
Rwanda,5426.5,4424.0,2
S.C. Braga,4376.470588235294,3098.9411764705883,17
S.C. Farense,3605.0,2780.3333333333335,3
S.L. Benfica,21916.033333333333,12275.616666666667,60
S.L. Benfica Women,6344.75,5352.75,4
SC Freiburg,2051.8333333333335,1427.5,6
SC Telstar,8392.625,6346.375,8
SK Brann,11628.142857142857,7750.0,7
SK Rapid Wien,1932.8235294117646,1448.764705882353,17
SK Sigma Olomouc,816.6666666666666,661.3333333333334,6
SK Slavia Prague,15020.307692307691,9840.153846153846,13
SK Sturm Graz,6535.733333333334,4414.6,15
SKN St. Pölten Women,2760.2,2307.6,5
SSB BIMBA AIUEO,8280.5,5843.5,2
SSC Napoli,30799.385964912282,21792.543859649122,57
STVV,6255.0,4688.0,1
Salford City F.C.,15531.5,11320.0,2
Samsunspor,345.8333333333333,258.5,6
San Diego FC,3248.5,3061.5,2
San Jose Earthquakes,2594.0,2330.0,1
Sassuolo Calcio,49026.35294117647,35301.82352941176,17
Saudi Arabia,6037.8,5008.8,5
Seattle Sounders FC,1200.0,1087.3333333333333,3
Semen Padang FC,232508.97959183675,131043.22448979592,49
Senegal,11244.25,8116.125,8
Sevilla,25072.01785714286,16873.76785714286,56
Shamrock Rovers,3141.5,1927.8333333333333,12
Shamrock Rovers F.C.,387.0,304.0,1
Sheffield United FC,5210.827586206897,3967.310344827586,29
Sheffield Wednesday FC,4405.538461538462,3415.923076923077,13
Shelbourne F.C.,509.3333333333333,419.5,6
Shrewsbury Town FC,2431.0,2267.0,2
Sierra Leone,2863.5,2225.5,2
Singapore,15498.5,10896.0,2
Slough Town FC,5249.0,4741.0,1
Solihull Moors FC,1310.0,1095.0,1
South Africa,17813.5,13652.5,4
South Korea U23,456331.6666666667,237717.0,3
South Shields FC,3730.0,3492.0,1
South Sudan,15115.0,13037.0,1
Southampton,56015.895833333336,33213.1875,48
Sparta Rotterdam,10395.375,7547.75,16
Sporting CP,9469.15,6289.416666666667,60
Sporting Kansas City,2308.0,2129.0,2
Sriwijaya FC,41645.724137931036,23910.068965517243,29
St. Gallen,345.75,254.0,4
St. Louis City SC,1726.0,1519.8,5
Stade Brestois 29,43276.88888888889,26198.11111111111,9
Standard,11497.666666666666,8729.666666666666,3
Stockport County FC,7793.0,5504.0,1
Stoke City FC,5003.2,3930.2,15
Sudan,11472.142857142857,9009.42857142857,7
Sumsel United,38232.692307692305,22098.923076923078,13
Sunderland AFC,40575.820512820515,24479.923076923078,39
Sutton United FC,3716.0,3098.0,2
Swansea City AFC,12246.111111111111,9244.555555555555,9
Sydney FC,4047.0588235294117,3387.764705882353,17
Syria U20,387064.0,224244.0,1
TSG 1899 Hoffenheim,5880.0,4236.857142857143,7
Tajikistan,514769.0,298731.0,1
Tamworth FC,79067.25,30651.0,4
Tanzania,8442.333333333334,6324.666666666667,3
Terang Bangsa Semarang,2711.0,2059.0,2
Thailand,17209.75,12059.75,4
Thailand U23,544714.0,245369.75,4
The New Saints FC,281.6,219.0,5
Timnas Indonesia U17,66899.5,46250.5,2
Timnas Indonesia U17 Men,416040.0,249246.0,1
Timnas Indonesia U19,675051.0,415392.5,2
Timnas Indonesia U20,419762.3333333333,235934.33333333334,3
Timnas Indonesia U23,1337789.875,653703.5,8
Timnas Malaysia U23,595177.3333333334,313917.0,3
Timor-Leste,119681.5,84401.5,2
Timor-Leste U23,57500.0,38379.0,2
Togo,4537.5,3628.0,2
Toli FC,4799.333333333333,3495.6666666666665,3
Torino FC,18001.791666666668,13040.395833333334,48
Toronto FC,6871.0,6113.0,1
Tottenham Hotspur,84487.12765957447,51957.27659574468,94
Tottenham Hotspur Women,10301.666666666666,8915.333333333334,3
Trabzonspor Kulübü,3890.4,3024.6,5
Tranmere Rovers FC,3026.0,2221.0,1
Tunisia,7983.2,6330.8,5
Turkmenistan U20 Women,108817.0,67037.0,1
Twente,22484.275,15375.975,40
UD Las Palmas,23542.13157894737,15419.28947368421,38
Udinese Calcio,19108.1875,14074.895833333334,48
Uganda,7779.666666666667,5974.333333333333,3
Uruguay,31757.25,22080.875,8
Utrecht,16025.551724137931,12039.896551724138,29
Uzbekistan,557413.0,300071.0,1
Valencia,22196.01785714286,14812.05357142857,56
Valladolid,24312.07894736842,15865.105263157895,38
Vancouver Whitecaps FC,2086.0,1965.0,1
Venezia FC,39069.59375,27836.53125,32
Venezuela,26429.75,17860.75,4
VfB Stuttgart,16945.75,10590.625,16
VfL Wolfsburg Women,3128.4,2543.2,5
Vietnam,56860.75,37050.5,4
Vietnam U23,554066.25,275285.25,4
Villarreal CF,28062.39344262295,17905.016393442624,61
Vitória S.C.,4360.733333333334,3284.733333333333,15
Vålerenga Fotball Damer,3236.5,2621.75,4
Walsall FC,2374.75,1930.25,4
Watford FC,8496.416666666666,6524.166666666667,12
